                General Knowledge
What is the capital of France?,Paris,London,Beijing,Madrid,
What is the capital of the United States?,Washington D.C.,New York,Los Angeles,Chicago
Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Jane Austen,Stephen King
What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Earth
What is the chemical symbol for water?,H2O,CO2,NaCl,HCl
Who is the smartest person in the class?,Benjamin Robertson,Roman Bleyer,Angus Briscoe,Fin Peters,Mr Fong
What is the process by which plants make their energy?,Photosynthesis,Respiration,Decomposition,Fermentation
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane
                Classmates
Who is the White Gremlin?,Roman Bleyer,Angus Briscoe,Fin Peters,Mr Fong
Who loves the weirest music?,Fin Peters,Angus Briscoe,Roman Bleyer,Mr Fong
Who is the best at MTG?,Benjamin Robertson,Angus Briscoe,Fin Peters,Roman Bleyer
                The inner machinations of my mind
What is the meaning of life?,42,To be happy,To be successful,To be rich
What is the greatest achievement in human history?,The Moon Landing,The Invention of the Internet,The Invention of the Wheel,The Invention of the Lightbulb
                Star Wars
Who began the rule of two?,Darth Bane,Darth Vader,Darth Sidious,Darth Plagueis
Who is the first mandolorian Jedi?,Tarre Vizsla,Pre Vizla,Sabine Wren,Din Djarin
What it the name of the entity trapped in the Maw?,Abeloth,The Father,Darth Nihilus,Exar Kun
Who is the most powerful Sith Lord?,Darth Sidious,Darth Vader,Darth Plagueis,Darth Bane
Who was the greatest tactician in the imperial navy?,Grand Admiral Thrawn,Grand Moff Tarkin,Darth Vader,Admiral Yularen
Who was the secret apprentice of Darth Vader?,Starkiller,Asajj Ventress,Ahsoka Tano, Ezra Bridger
Who was the 1st member of the Clone Force 99 to die?,Tech, Wrecker, Crosshair, Hunter
Who was the commander of the Star Corps Company?,Commander Bly, Captain Rex, Commander Cody, Captain Thorn
Who is the true sith?, Jar-Jar Binks, Kylo Ren, Snoke, Venamis
